file_name,parent_file_train,number_of_segments_train,number_of_voices_parent_train,noisy_train,extra_sounds_train,parent_label_train,segment_label_train,notes_train
uortapdfw0x51_processed_0,uortapdfw0x51,8,4,0.0,,3.0,1,
uortapdfw0x51_processed_1,uortapdfw0x51,8,4,0.0,,3.0,0,woman2 is crying
uortapdfw0x51_processed_2,uortapdfw0x51,8,4,0.0,someone walking,3.0,0,no talking here
uortapdfw0x51_processed_3,uortapdfw0x51,8,4,0.0,,3.0,0,no talking here
uortapdfw0x51_processed_4,uortapdfw0x51,8,4,0.0,,3.0,3,
uortapdfw0x51_processed_5,uortapdfw0x51,8,4,0.0,,3.0,2,
uortapdfw0x51_processed_6,uortapdfw0x51,8,4,0.0,,3.0,2,
uortapdfw0x51_processed_7,uortapdfw0x51,8,4,0.0,,3.0,1,
upw3o9xs71p61_processed_0,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_1,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_2,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_4,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_5,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_6,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_7,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_8,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_9,upw3o9xs71p61,27,2,0.0,,2.0,2,"Richard sounds sarcastic when asking ""you got video"""
upw3o9xs71p61_processed_10,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_11,upw3o9xs71p61,27,2,0.0,,2.0,1,
upw3o9xs71p61_processed_12,upw3o9xs71p61,27,2,0.0,,2.0,1,
upw3o9xs71p61_processed_13,upw3o9xs71p61,27,2,0.0,,2.0,1,
upw3o9xs71p61_processed_14,upw3o9xs71p61,27,2,0.0,music playing,2.0,2,
upw3o9xs71p61_processed_15,upw3o9xs71p61,27,2,0.0,,2.0,1,
upw3o9xs71p61_processed_16,upw3o9xs71p61,27,2,0.0,,2.0,1,
upw3o9xs71p61_processed_18,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_19,upw3o9xs71p61,27,2,0.0,,2.0,1,
upw3o9xs71p61_processed_20,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_21,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_22,upw3o9xs71p61,27,2,0.0,,2.0,2,
upw3o9xs71p61_processed_23,upw3o9xs71p61,27,2,0.0,,2.0,1,
upw3o9xs71p61_processed_24,upw3o9xs71p61,27,2,0.0,music playing,2.0,1,
upw3o9xs71p61_processed_25,upw3o9xs71p61,27,2,0.0,,2.0,1,
upw3o9xs71p61_processed_26,upw3o9xs71p61,27,2,0.0,,2.0,0,
uqufqavw1sy61_processed_0,uqufqavw1sy61,5,2,0.0,,1.0,0,
uqufqavw1sy61_processed_3,uqufqavw1sy61,5,2,0.0,,1.0,1,
uqufqavw1sy61_processed_4,uqufqavw1sy61,5,2,0.0,,1.0,0,
ut49qgxtzka71_processed_0,ut49qgxtzka71,4,5,0.0,,2.0,2,In order of appearance
ut49qgxtzka71_processed_1,ut49qgxtzka71,4,5,0.0,,2.0,2,
ut49qgxtzka71_processed_2,ut49qgxtzka71,4,5,0.0,feet shuffling,2.0,2,
ut49qgxtzka71_processed_3,ut49qgxtzka71,4,5,0.0,,2.0,2,
utkpnmjf64t51_processed_0,utkpnmjf64t51,5,3,0.0,,3.0,1,
utkpnmjf64t51_processed_1,utkpnmjf64t51,5,3,0.0,,3.0,1,
utkpnmjf64t51_processed_3,utkpnmjf64t51,5,3,0.0,,3.0,1,
utkpnmjf64t51_processed_4,utkpnmjf64t51,5,3,0.0,,3.0,0,
uvknf21t4gf61_processed_0,uvknf21t4gf61,2,3,0.0,,3.0,2,
uvknf21t4gf61_processed_1,uvknf21t4gf61,2,3,0.0,,3.0,2,
uy1pvvhw4fy51_processed_0,uy1pvvhw4fy51,2,2,0.0,,2.0,2,
uy1pvvhw4fy51_processed_1,uy1pvvhw4fy51,2,2,0.0,crashing,2.0,1,
uyh2fvtr6lb71_processed_0,uyh2fvtr6lb71,6,1,0.0,,2.0,1,
uyh2fvtr6lb71_processed_1,uyh2fvtr6lb71,6,1,0.0,,2.0,1,
uyh2fvtr6lb71_processed_2,uyh2fvtr6lb71,6,1,0.0,,2.0,1,
uyh2fvtr6lb71_processed_3,uyh2fvtr6lb71,6,1,0.0,,2.0,2,
uyh2fvtr6lb71_processed_4,uyh2fvtr6lb71,6,1,0.0,,2.0,2,
uyh2fvtr6lb71_processed_5,uyh2fvtr6lb71,6,1,0.0,,2.0,0,
uypv850e04s61_processed_0,uypv850e04s61,9,1,0.0,,2.0,0,
uypv850e04s61_processed_1,uypv850e04s61,9,1,0.0,,2.0,1,
uypv850e04s61_processed_2,uypv850e04s61,9,1,0.0,,2.0,1,
