file_name,parent_file_train,number_of_segments_train,number_of_voices_parent_train,extra_sounds_train,parent_label_train,segment_label_train,noisy_train,Notes_train
00g8dfgpqpt61_processed_0,00g8dfgpqpt61,3,9999,"clapping, coughing",0,0,1,Only laughing
00g8dfgpqpt61_processed_1,00g8dfgpqpt62,3,9999,clapping,0,0,1,Only laughing
00g8dfgpqpt61_processed_2,00g8dfgpqpt63,3,9999,,0,0,1,Only laughing
01avx2fm1t961_processed_0,01avx2fm1t961,5,9999,baby crying,3,3,1,
01avx2fm1t961_processed_1,01avx2fm1t961,5,9999,baby crying,3,2,1,
01avx2fm1t961_processed_2,01avx2fm1t961,5,9999,baby crying,3,2,1,
01avx2fm1t961_processed_3,01avx2fm1t961,5,9999,,3,2,1,
01avx2fm1t961_processed_4,01avx2fm1t961,5,9999,,3,2,1,
0202on89vhz61_processed_0,0202on89vhz61,3,1,crowd,0,0,0,
0202on89vhz61_processed_1,0202on89vhz61,3,1,crowd,0,0,0,
0202on89vhz61_processed_2,0202on89vhz61,3,1,"crowd, motor bike",0,0,0,
03mglec8fez51_processed_0,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_1,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_10,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_11,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_12,03mglec8fez51,26,1,"calm music, crowd cheering",1,0,0,
03mglec8fez51_processed_13,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_14,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_15,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_16,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_17,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_18,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_19,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_2,03mglec8fez51,26,0,calm music,1,0,0,
03mglec8fez51_processed_20,03mglec8fez51,26,1,"calm music, crowd cheering",1,0,0,
03mglec8fez51_processed_21,03mglec8fez51,26,1,calm music,1,0,0,
